turn  normal  doctor  patient  ratio
-------------------------------------
95     81     6       2313     282.12
96     52     4       2344     385.50
97     29     9       2362     586.00
98     65     10      2325     262.44
99     75     10      2315     232.50
100    104    12      2284     231.50
101    102    6       2292     190.33
102    67     8       2325     382.00
103    65     11      2324     290.62
104    116    13      2271     211.27
105    109    14      2277     174.69
106    127    13      2260     162.64
107    137    14      2249     173.85
108    143    13      2244     160.64
109    190    13      2197     172.62
110    169    10      2221     169.00
111    130    9       2261     222.10
112    129    9       2262     251.22
113    101    8       2291     251.33
114    75     9       2316     286.38
115    81     10      2309     257.33
116    55     7       2338     230.90
117    37     5       2358     334.00
118    7      6       2387     471.60
119    36     7       2357     397.83
120    31     4       2365     336.71
121    11     6       2383     591.25
122    44     4       2352     397.17
123    42     9       2349     588.00
